"","species","velocity","log.velocity"
"1214","Anagallis minima",1.54,0.187520721
"1215","Lysimachia punctata",2.98,0.474216264
"1216","Lysimachia vulgaris",2.7,0.431363764
"1217","Androsace septentrionalis",1.9949,0.29992113
"1218","Androsace alpina",1.8883,0.276070993
"1219","Androsace lactea",1.7,0.230448921
"1220","Primula elatior",3.29,0.517195898
"1221","Primula veris",3.67,0.564666064
"1222","Primula vulgaris",3.62,0.558708571
"1223","Primula farinosa",1.94,0.28780173
"1224","Soldanella pusilla",2.3108,0.363762359
"1225","Primula auricula",2.55,0.40654018
"1226","Impatiens noli-tangere",4.1,0.612783857
"1227","Impatiens parviflora",4.39,0.64246452
"1228","Impatiens glandulifera",4.72,0.673941999
"1229","Pulsatilla alpina",2.12,0.326335861
"1230","Aquilegia einseleana",3.15,0.498310554
"1231","Aquilegia vulgaris",3.85,0.58546073
"1232","Aquilegia atrata",3.78,0.5774918
"1233","Thalictrum minus",3.68,0.565847819
"1234","Thalictrum flavum",3.57,0.552668216
"1235","Thalictrum lucidum",3.21,0.506505032
"1236","Adonis vernalis",1.6,0.204119983
"1237","Trollius europaeus",3.56,0.551449998
"1238","Caltha palustris",3.16,0.499687083
"1239","Nigella damascena",3.49,0.542825427
"1240","Aconitum napellus",3.33,0.522444234
"1241","Helleborus foetidus",4.72,0.673941999
"1242","Helleborus niger",4.58,0.660865478
"1243","Helleborus viridis",4.55,0.658011397
"1244","Anemone nemorosa",3.16,0.499687083
"1245","Anemone ranunculoides",3.68,0.565847819
"1246","Pulsatilla vernalis",1,0
"1247","Pulsatilla vulgaris",1.8,0.255272505
"1248","Pulsatilla pratensis",1.25,0.096910013
"1249","Hepatica nobilis",3.17,0.501059262
"1250","Clematis recta",3.79,0.57863921
"1251","Clematis alpina",1,0
"1252","Clematis vitalba",1.59,0.201397124
"1253","Myosurus minimus",1.89,0.276461804
"1254","Ranunculus aconitifolius",3.73,0.571708832
"1255","Ranunculus platanifolius",3.56,0.551449998
"1256","Ranunculus glacialis",1.2734,0.104964846
"1257","Ranunculus auricomus",3.16,0.499687083
"1258","Ranunculus sceleratus",2.16,0.334453751
"1259","Ranunculus thora",4.47,0.650307523
"1260","Ranunculus hybridus",2.6791,0.427988924
"1261","Ranunculus flammula",3.22,0.507855872
"1262","Ranunculus arvensis",7.81,0.892651034
"1263","Ranunculus bulbosus",3.62,0.558708571
"1264","Ranunculus sardous",3.38,0.5289167
"1265","Ranunculus repens",3.47,0.540329475
"1266","Ranunculus acris",3.62,0.558708571
"1267","Ranunculus ficaria",2.63,0.419955748
"1268","Ranunculus parnassiifolius",2.391,0.378579576
"1269","Fumaria muralis",3.1,0.491361694
"1270","Fumaria officinalis",4.39,0.64246452
"1271","Eschscholzia californica",4.31,0.63447727
"1272","Chelidonium majus",3.56,0.551449998
"1273","Glaucium flavum",3.73,0.571708832
"1274","Argemone mexicana",4.51,0.654176542
"1275","Papaver argemone",2.55,0.40654018
"1276","Papaver dubium",2.52,0.401400541
"1277","Papaver rhoeas",2.43,0.385606274
"1278","Papaver somniferum",5,0.698970004
"1279","Corydalis solida",3.68,0.565847819
"1280","Platanus occidentalis",1.66,0.220108088
"1281","Asarum europaeum",3.85,0.58546073
"1282","Aristolochia clematitis",4.03,0.605305046
"1283","Liriodendron tulipifera",1.25,0.096910013
"1284","Cedrus atlantica",1.9,0.278753601
"1285","Cryptomeria japonica",2.84,0.45331834
"1286","Thuja plicata",1.25,0.096910013
"1287","Juniperus communis",4.72,0.673941999
